Protein_Group	Genes	T47D_B_Non Treated_vs_T47D _Non Treated_logFC	T47D_B_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q8TCD5	NT5C	-1.08479157178222	1.6227963932973902e-19	No	No
Q8TD06	AGR3	-1.10611702128055	1.8454399621970398e-22	No	No
Q8TD19	NEK9	-1.13738432883081	3.74228486544662e-29	No	No
Q8TD55	PLEKHO2	-1.00839497481843	3.31444499911459e-12	No	No
Q8TDZ2	MICAL1	-2.75455963970196	3.30099845956224e-23	No	No
Q8WUG5	SLC22A17	-1.00439002528806	0.0085427872062236	No	No
Q8WV41	SNX33	-1.07502159622236	1.19317493277679e-18	No	No
Q8WVC6	DCAKD	-2.56059845888327	9.05993467258305e-36	No	No
Q8WVP5	TNFAIP8L1	-1.25773778298614	0.0090296723027183	No	No
Q8WW22	DNAJA4	-1.49420368026932	3.59746320330396e-32	No	No
Q8WWI1	LMO7	-1.33511519515202	1.04230146277463e-37	No	No
Q8WWY8	LIPH	-1.98973282832503	3.81263010973382e-15	No	No
Q8WWZ3	EDARADD	-1.67333115878913	5.47431826195314e-10	No	No
