Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q8IUX4	APOBEC3F	-1.6893399380273	3.77372861516327e-14	No	No
Q8IVF2	AHNAK2	-2.52335212095917	2.53085231315586e-47	No	No
Q8IVI9	NOSTRIN	-1.10926791893552	0.000115976511971	No	No
Q8IVT2	MISP	-3.11141188880584	2.18733932604745e-48	No	No
Q8IWW8	ADHFE1	-1.00773860836606	1.9634697221609e-08	No	No
Q8IXK2	GALNT12	-2.37217623860883	3.04422619870563e-05	No	No
Q8IXU6	SLC35F2	-1.37435819244	1.55368674742191e-14	No	No
Q8IY82	DRC7	-3.21230836165632	8.53075738374636e-17	No	No
Q8IZQ5	SELENOH	-1.80540333033388	7.18689519402188e-29	No	No
Q8IZV2	CMTM8	-2.53526988530483	4.13163454715657e-20	No	No
Q8N394	TMTC2	-1.00928573212196	6.2675771455773e-13	No	No
Q8N3V7	SYNPO	-1.19418026253427	0.0037088314214579	No	No
Q8N3Y7	SDR16C5	-2.08492874443145	7.160714927726949e-29	No	No
Q8N490	PNKD	-1.22644666019428	3.55654151526725e-17	No	No
Q8N4W6	DNAJC22	-1.34969793456873	1.14904720708517e-09	No	No
Q8N8E3	CEP112	-1.40904433558959	0.0003636313455806	No	No
Q8NBI5	SLC43A3	-2.80809341743629	1.20255606246342e-15	No	No
Q8NET8	TRPV3	-1.42882740488747	1.03515485933388e-16	No	No
Q8NFW9	MYRIP	-2.01842817621852	3.57787841731681e-08	No	No
Q8TAD7	OCC1	-1.17259468516109	1.64169914436523e-07	No	No
Q8TB45	DEPTOR	-1.10583518657309	1.05849442705023e-22	No	No
Q8TD06	AGR3	-1.50251195800442	5.846180993584589e-28	No	No
Q8TDN7	ACER1	-1.41912088521164	2.6650283300524e-06	No	No
Q8TE58	ADAMTS15	-2.50393669233792	6.02402881396441e-23	No	No
Q8WTV0	SCARB1	-1.095486565077	3.7812317883626096e-30	No	No
Q8WU20	FRS2	-1.37757428417285	4.2070073186478804e-21	No	No
Q8WUA8	TSKU	-1.70260322266682	6.42325158726702e-12	No	No
Q8WVN6	SECTM1	-1.03281117959871	0.0011976044573431	No	No
Q8WVV4	POF1B	-2.43963325284335	2.36661759713521e-22	No	No
Q8WWA1	TMEM40	-2.93779409321617	2.35124444241815e-35	No	No
Q8WWX9	SELENOM	-1.12869845714654	7.1706834286265e-16	No	No
Q8WWZ3	EDARADD	-1.14075230330212	2.81583088958274e-06	No	No
Q8WXF7	ATL1	-2.55328827740638	1.53359857281314e-06	No	No
Q92537	SUSD6	-1.20770984880679	4.12526580090787e-06	No	No
Q92729	PTPRU	-2.34192771797462	1.56192771329922e-10	No	No
Q92870	APBB2	-1.26370886813246	2.48573038752848e-25	No	No
Q969Q4	ARL11	-1.39888497757701	1.06911792408958e-07	No	No
Q96A58	RERG	-1.74221544481689	1.08885377657649e-17	No	No
Q96AY3	FKBP10	-1.57466225191276	9.038484898130611e-38	No	No
Q96FL8	SLC47A1	-1.99258379728508	1.2730370999220201e-09	No	No
Q96FM1	PGAP3	-1.39502508185373	0.0002680706979838	No	No
Q96GM1	PLPPR2	-1.09243905069223	0.0090374743996347	No	No
Q96J84	KIRREL1	-1.34406569727301	1.9048081009991602e-19	No	No
Q96MY1	NOL4L	-1.75076425470469	4.59889250294162e-14	No	No
Q96P15	SERPINB11	-1.57119646843702	2.78072056978271e-05	No	No
Q96PM9	ZNF385A	-1.02610652955451	2.47006942888651e-24	No	No
Q99571	P2RX4	-1.01301283504169	1.39409147163164e-25	No	No
Q99685	MGLL	-1.30712335885204	3.00178477581453e-18	No	No
Q99708	RBBP8	-2.26650498034576	4.4085599186387e-29	No	No
Q99732	LITAF	-1.01191627642489	4.29311480911179e-10	No	No
Q99784	OLFM1	-1.29533454825799	3.930926219745241e-09	No	No
Q99856	ARID3A	-1.16695739396872	1.59387025721877e-16	No	No
Q99990	VGLL1	-1.77896932702045	0.0001800150953775	No	No
Q9BPZ2	SPIN2B	-1.1021690657041	1.36771736924205e-07	No	No
Q9BRK3	MXRA8	-3.27221707370517	1.6030442422512802e-31	No	No
Q9BSK0	MARVELD1	-1.97511364938509	1.18621007142802e-09	No	No
Q9BX66	SORBS1	-1.16840443759251	4.99547270974334e-15	No	No
Q9BXI9	C1QTNF6	-3.44962105938185	5.98656857812859e-22	No	No
Q9BY67	CADM1	-1.8077355042315	3.41880068787778e-35	No	No
Q9BYK8	HELZ2	-1.08447950720207	6.344099836227081e-25	No	No
Q9C002	NMES1	-1.28808754573302	6.76690298677039e-13	No	No
Q9C035	TRIM5	-1.0133426664559	2.42450624952903e-16	No	No
Q9GZP8	IMUP	-1.02749376606334	3.01850514691498e-05	No	No
Q9H0Z9	RBM38	-1.16528854415404	9.4266183349731e-05	No	No
