Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q5MNZ9	WIPI1	-1.66988559812604	3.70136993282322e-32	No	No
Q5MY95	ENTPD8	-1.75371815234068	1.03608823860738e-06	No	No
Q5T013	HYI	-1.29947634303755	2.42558958791694e-07	No	No
Q5T848	GPR158	-1.83725958166009	7.66531545183013e-10	No	No
Q5U4P2	ASPHD1	-1.39437933536677	9.94218294652424e-08	No	No
Q5U649	C12orf60	-2.02556821722211	9.86422111423019e-06	No	No
Q5VUG0	SFMBT2	-1.75624013120645	3.25198876305718e-10	No	No
Q6BCY4	CYB5R2	-1.26357242014962	1.30730839698486e-18	No	No
Q6NUT2	DPY19L2	-1.48430866477093	3.57771213802011e-05	No	No
Q6T310	RASL11A	-2.15787214370827	2.95749915334746e-13	No	No
Q6UX53	METTL7B	-1.9675312973047	7.061191710922021e-15	No	No
Q6XZF7	DNMBP	-1.47783097015194	5.39757874625921e-07	No	No
Q6ZMZ3	SYNE3	-1.66000165145353	2.40252497640097e-24	No	No
Q6ZNL6	FGD5	-1.48880253417629	5.77758801298346e-10	No	No
Q6ZU35	CRACD	-1.31399986117144	1.8400182122479e-06	No	No
Q76EJ3	SLC35D2	-1.56151424980272	0.0009444850034234	No	No
Q7L266	ASRGL1	-1.99810914892361	1.81468037372969e-07	No	No
Q7L311	ARMCX2	-1.45546781596297	9.10475906343139e-20	No	No
Q7L5N7	LPCAT2	-1.48018844560888	3.20643811102152e-27	No	No
Q7RTY0	SLC16A13	-1.08463406779442	0.0003697180184109	No	No
Q7Z2H8	SLC36A1	-1.38247031484502	8.79421937767539e-07	No	No
Q86SE9	PCGF5	-1.15535097297506	1.28072673684686e-07	No	No
Q86TV6	TTC7B	-1.05476406789737	2.47707813100911e-07	No	No
Q86UK0	ABCA12	-1.65365142793652	8.99713760538411e-21	No	No
Q86UW7	CADPS2	-1.05552781089039	1.85265299921367e-13	No	No
Q86V24	ADIPOR2	-1.06967690268811	0.0009611804399124	No	No
Q86YB8	ERO1B	-1.13895674961155	1.56639880202925e-24	No	No
Q8IU85	CAMK1D	-2.28204524336025	5.85884170244466e-23	No	No
