Protein_Group	Genes	MoMacs_day15_vs_MoMacs_day30_logFC	MoMacs_day15_vs_MoMacs_day30_pval	Removed?	Contaminant?
P63268	Actg2	-2.17872172513978	0.0086730596811265	No	No
P63328	Ppp3ca	-4.66584481846717	0.0001078738710235	No	No
P63330	Ppp2ca	-3.07149015406903	0.0037567201769731	No	No
P68254	Ywhaq	-3.3917650406516	0.0030981601835988	No	No
P68433;P84228	H3c11;H3c15	-3.05169009506277	0.0004665783332354	No	No
P68510	Ywhah	-2.36093348447	0.0005757821227195	No	No
P70158	Smpdl3a	-4.20412126101872	4.2351349641776e-05	No	No
P70195	Psmb7	-2.8298431053625	0.0015305187312593	No	No
P70202	Lxn	-2.77474570296239	0.0055303388179291	No	No
P70261	Pald1	-5.31663974401032	2.13982224299307e-05	No	No
P70268	Pkn1	-3.94838601529817	0.0072358502831189	No	No
P70271	Pdlim4	-4.46644846740752	0.0016378682748962	No	No
P70280	Vamp7	-3.59242391679482	0.0071958608024552	No	No
P70296	Pebp1	-3.14552208537813	0.0089827615337842	No	No
P70303	Ctps2	-5.05931043530851	0.0024248571303199	No	No
P70315	Was	-5.03444412359705	3.4031662680936e-05	No	No
P70335	Rock1	-5.4853474597471	5.30644915679123e-06	No	No
P70349	Hint1	-7.89453679931973	2.82146110934943e-10	No	No
P70372	Elavl1	-3.83716779032153	0.0074373246349955	No	No
P70388	Rad50	-4.010174583974	2.83480378787234e-05	No	No
P70441	Slc9a3r1	-3.57157933177614	0.0061436376806386	No	No
P70460	Vasp	-3.56482105755126	0.0024849262572529	No	No
P70677	Casp3	-4.02509784617777	0.0008499011761514	No	No
P70691;Q62452;Q64435;Q63886;Q6ZQM8	Ugt1a1;Ugt1a2;Ugt1a6;Ugt1a7;Ugt1a9	-5.81334807369226	5.42335593795332e-07	No	No
P70697	Urod	-4.81355556265415	0.0004965546114133	No	No
P82343	Renbp	-3.39117331725521	3.61593149374994e-06	No	No
P84089	Erh	-2.73636355746445	0.0078372755093531	No	No
P84091	Ap2m1	-2.55740599856403	0.0005317114903773	No	No
P97310	Mcm2	-4.49467832372097	0.0008105517615892	No	No
P97315	Csrp1	-3.58732373706325	0.0047280046382762	No	No
P97352	S100a13	-3.09325290568103	2.45619969090803e-05	No	No
P97364	Sephs2	-4.30467754889597	0.0003390035169786	No	No
P97369	Ncf4	-3.93023796189759	0.0001033557240979	No	No
P97377	Cdk2	-3.27273690140994	0.006443864014765	No	No
P97384	Anxa11	-6.80139713033233	5.10587386154387e-06	No	No
P97390	Vps45	-4.6079360192898	0.0009952773442108	No	No
P97470	Ppp4c	-2.63815901129363	0.0092932297241738	No	No
P97797	Sirpa	-2.73313245705021	0.0017743968331569	No	No
P97814	Pstpip1	-6.47411200998456	7.68119938551882e-06	No	No
P97855	G3bp1	-2.50902479119832	0.0084665791772967	No	No
P98086	C1qa	-6.06201476019295	2.89516435713213e-10	No	No
P99026	Psmb4	-2.1235077946867	0.0025043558539677	No	No
P99029	Prdx5	-3.57773957810401	3.1195853117106e-05	No	No
Q00422	Gabpa	-4.98974929181644	0.0001188864435375	No	No
Q00519	Xdh	-2.92178497404214	8.66270178181999e-05	No	No
Q00612	G6pdx	-3.31734145504164	0.0002780779652988	No	No
Q01405	Sec23a	-2.46586892602012	0.0041810182474107	No	No
Q01514	Gbp1	-5.22763295905309	4.19455136426679e-06	No	No
Q01730	Rsu1	-9.05868686276411	1.12032622398375e-07	No	No
Q01768	Nme2	-2.64733252623196	0.0001445943802759	No	No
Q01853	Vcp	-2.54874724138513	0.0021871954051174	No	No
Q02105	C1qc	-2.81605198332435	0.008426893324285	No	No
Q02819	Nucb1	-2.73903216176345	0.0045989510648104	No	No
Q03958	Pfdn6	-7.4621891429455	1.59686181968482e-07	No	No
Q04207	Rela	-5.79674302260253	2.83577263551234e-06	No	No
Q05144	Rac2	-2.85412590550831	0.0002517622290385	No	No
Q05512	Mark2	-3.22659749869533	0.0034942660783091	No	No
Q05793	Hspg2	-6.5537723338122	4.78496023405731e-06	No	No
Q06138	Cab39	-3.04955154288736	0.0010305217926887	No	No
Q06318	Scgb1a1	-4.62824421266319	0.0007723562510397	No	No
Q07813	Bax	-2.58729024331328	0.0001627862331479	No	No
Q08024	Cbfb	-4.37259032693327	3.93577301291373e-05	No	No
