,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
18,GO:1900746,regulation of vascular endothelial growth factor signaling pathway,GO:1900746,0.06816424,24.09512,130.8534,NRG1;ROBO1,Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)
19,GO:0097479,synaptic vesicle localization,GO:0097479,0.06816424,24.09512,130.8534,NLGN1;KIF5A,Synaptic Vesicle Localization (GO:0097479)
20,GO:0043062,extracellular structure organization,GO:0043062,0.08770391,8.683422,43.94567,COL4A6;COL4A5;COL9A3,Extracellular Structure Organization (GO:0043062)
21,GO:0045229,external encapsulating structure organization,GO:0045229,0.09380837,8.287037,40.93394,COL4A6;COL4A5;COL9A3,External Encapsulating Structure Organization (GO:0045229)
22,GO:1901222,regulation of non-canonical NF-kappaB signal transduction,GO:1901222,0.09380837,8.287037,40.93394,RTKN2;PDCD4;ADIPOR1,Regulation Of NIK/NF-kappaB Signaling (GO:1901222)
23,GO:0090322,regulation of superoxide metabolic process,GO:0090322,0.09986856,inf,inf,DHFR,Regulation Of Superoxide Metabolic Process (GO:0090322)
24,GO:0050919,negative chemotaxis,GO:0050919,0.1095615,15.0503,69.57217,UNC5C;ROBO1,Negative Chemotaxis (GO:0050919)
25,GO:0050922,negative regulation of chemotaxis,GO:0050922,0.1095615,15.0503,69.57217,NRG1;ROBO1,Negative Regulation Of Chemotaxis (GO:0050922)
26,GO:0051491,positive regulation of filopodium assembly,GO:0051491,0.1306833,13.37534,59.07803,NLGN1;TGFB3,Positive Regulation Of Filopodium Assembly (GO:0051491)
27,GO:0140238,presynaptic endocytosis,GO:0140238,0.1527388,12.03537,50.93862,NLGN1;NLGN2,Presynaptic Endocytosis (GO:0140238)
28,GO:0072578,neurotransmitter-gated ion channel clustering,GO:0072578,0.1627416,119.1325,486.9961,NLGN1,Neurotransmitter-Gated Ion Channel Clustering (GO:0072578)
29,GO:1901678,iron coordination entity transport,GO:1901678,0.1627416,119.1325,486.9961,NRG1,Iron Coordination Entity Transport (GO:1901678)
30,GO:0080090,regulation of primary metabolic process,GO:0080090,0.1627416,11.46109,47.52764,ADIPOR1;BBS4,Regulation Of Primary Metabolic Process (GO:0080090)
31,GO:0061000,negative regulation of dendritic spine development,GO:0061000,0.1627416,119.1325,486.9961,NLGN1,Negative Regulation Of Dendritic Spine Development (GO:0061000)
